STATISTIC	pval	fdr
SRR8615656	0.556721497447533	2.49058107471001e-10	1.86793580603251e-07
SRR8615657	0.430941576857629	6.39306466798661e-06	0.00330521443334908
SRR8615658	-0.648184912081679	3.47499806707674e-14	3.12054826423491e-11
SRR8615659	-0.109330686330119	0.762338870065524	1
SRR8615660	0.224758933635848	0.0640016717385082	1
SRR8615661	0.312819058423142	0.00183594848351709	0.660941454066153
SRR8615662	-0.182359614293817	0.180186420312204	1
SRR8615664	0.139818491208168	0.469189616844869	1
SRR8615665	-0.708026091888826	6.66133814775094e-16	6.60804744256893e-13
SRR8615666	-0.206466250709019	0.0928709306413089	1
SRR8615667	0.255246738513897	0.0236137011399723	1
SRR8615668	-0.761769710720363	6.66133814775094e-16	6.60804744256893e-13
SRR8615669	-0.297078842881452	0.00364716817120658	1
SRR8615670	-0.364152013613159	0.000149739447060315	0.0640884833418149
SRR8615671	-0.689733408961997	8.88178419700125e-16	8.41104963456019e-13
SRR8615673	0.250283607487238	0.0280160704008737	1
SRR8615674	0.22093023255814	0.0718918037958062	1
SRR8615675	0.522830402722632	4.13311707081476e-09	2.88904883249952e-06
SRR8615676	0.259075439591605	0.0164025828957516	1
SRR8615678	0.661939875212706	2.16493489801906e-13	1.88782323107262e-10
SRR8615681	0.653148043108338	4.75952610656805e-13	4.11699008218136e-10
SRR8615682	0.535025524673851	6.77023415107669e-09	4.66469133009184e-06
SRR8615684	0.279636982416336	0.00970789763104485	1
SRR8615686	0.229580260918888	0.0551286481254132	1
SRR8615687	0.152013613159387	0.410554046824985	1
SRR8615690	0.627623369256948	4.41469083511947e-12	3.62446117563309e-09
SRR8615691	-0.501418037436188	7.26636475434361e-08	4.59960888949951e-05
SRR8615692	0.506806579693704	1.4808184678472e-08	1.0039949212004e-05
SRR8615695	0.250283607487238	0.0280160704008737	1
SRR8615696	0.303318207600681	0.00277787643115412	0.961145245179327
SRR8615698	-0.558990357345434	1.13447684579882e-09	8.16823328975147e-07
SRR8615699	0.585649461145774	1.80074843925127e-11	1.43339575764401e-08
SRR8615703	0.587209302325581	1.25226273794965e-10	9.60485520007381e-08
SRR8615704	0.190300623936472	0.169494364012681	1
SRR8615707	0.284600113442995	0.00802157653361613	1
SRR8615708	0.693562110039705	6.66133814775094e-16	6.60804744256893e-13
SRR8615709	-0.370249574588769	0.000108155566942769	0.0474802938878757
SRR8615711	0.156409529211571	0.375141049883164	1
SRR8615712	0.262053318207601	0.0185769334163395	1
SRR8615713	0.374929098128191	0.000138484560832319	0.0596868457187296
SRR8615714	0.705757231990925	6.66133814775094e-16	6.60804744256893e-13
SRR8615715	0.208309699376064	0.103977341067525	1
SRR8615718	0.683635847986387	1.22124532708767e-15	1.15041309811659e-12
SRR8615719	-0.381735677821894	5.84743818646816e-05	0.0265473693665654
SRR8615723	0.721781055019853	7.7715611723761e-16	7.37521155258491e-13
SRR8615725	0.60436755530346	3.10957926075162e-11	2.44723887821152e-08
SRR8615726	-0.188882586500284	0.151811104806856	1
SRR8615728	0.600964265456608	4.12825329476618e-12	3.3934242082978e-09
SRR8615730	0.542966534316506	3.7783003392633e-09	2.6561451385021e-06
SRR8615733	0.183068633011912	0.17687876511497	1
SRR8615734	-0.352382302892796	0.000278279730604902	0.112703290894985
SRR8615735	0.14931934203063	0.433202366085546	1
SRR8615737	0.850964265456608	0	0
SRR8615738	0.478587634713556	3.33717389056076e-07	0.000200230433433646
SRR8615739	0.528927963698242	1.05335422606601e-08	7.20494290629148e-06
SRR8615740	0.563953488372093	7.76027020421566e-10	5.66499724907743e-07
SRR8615743	-0.453062960862167	7.24567944310195e-07	0.000420973975644223
